Grupo,Familia,Nombre científico,Sinónimos,Nombre común,Ambiente,Distribución Nativa,Distribución Invasora,Origen,Presencia,Estatus,Regulada por otros instrumentos,Ficha,enciclovida_id
Hongos,Diaporthaceae,Diaporthe lokoyae,,,Terrestre,,,Exótica,Ausente,,,,
Hongos,Hemiphacidiaceae,Rhabdocline pseudotsugae,,,Terrestre,,,Exótica,Ausente,,,,
Hongos,Hemiphacidiaceae,Rhabdocline weirii,,,Terrestre,,,Exótica,Ausente,,,,
Hongos,Tympanidaceae,Grovesiella abieticola,,,Terrestre,,,Exótica,Ausente,,,,
Hongos,Cronartiaceae,Cronartium rubicola,,,Terrestre,"Asia (Cibrián-Tovar, 2009)","Europa, Estados Unidos, Canadá (Cibrián-Tovar, 2009)",Exótica,Presente,,,,6570
Hongos,Incertae sedis,Batrachochytrium dendrobatidis,,"Bd, Qutridiomicosis de anfibios",,"África (Santos-Barrera, 2004; GISD 2006)","África, América, Australia (Santos-Barrera, 2004); México (Oaxaca, Chiapas) (Cabrera, 2012); Veracruz, Hidalgo, Nuevo León, Puebla, Estado de México, Tamaulipas, Michoacán, Guerrero, Baja California (Mendoza-Almeralla et al., 2015)",Exótica,Presente,Invasora,Acuerdo especies exóticas SEMARNAT/ Acuerdo enfermedades y plagas SAGARPA 2016,x,7580
Aves,Sturnidae,Acridotheres cristatellus,,Miná crestado,Terrestre,"Sudeste de Asia (Bassó et al., 2012).","Norteamérica (Zelaya et al., 2001).",Exótica,Ausente,Invasora,Acuerdo especies exóticas SEMARNAT,x,229907
Peces,Ictaluridae,Ameiurus nebulosus,"Ictalurus nebulosus (Lesueur, 1819)",Brown Bullhead,Dulceacuícola,"América del Norte, Canadá (Manitoba, Nueva Brunswick, Nueva Escocia, Ontario, Quebec y Saskatchewan) y Estados Unidos (Alabama, Luisiana, Missouri y Tennessee) (Froese & Pauly, 2009).","Austria, Bélgica, Bulgaria, Chile, Republica Checa, Dinamarca, Finlandia, Alemania, Hungría, Irán, Irlanda, Italia, Nueva Zelanda, Noruega, Polonia, Puerto Rico, Rumania, Federación Rusa, España, Turquía, Reino Unido, Ucrania) (Froese & Pauly, 2009)",Exótica,Por confirmar,Invasora,,x,
Hongos,Ophiostomataceae,Ophiostoma ulmi,,,Terrestre,"Asia (Méndez-Montiel & Equihua-Martínez, 1999)","Estados Unidos, Canada, México (Aguascalientes) (Méndez-Montiel & Equihua-Martínez, 1999)",Exótica,Presente,,,,7575
Virus y bacterias,Dicistroviridae,Aparavirus Taura Syndrome virus,,"Virus del Síndrome de Taura, TSV",Marino,,,Exótica,Presente,,Acuerdo enfermedades y plagas SAGARPA 2016,,
Virus y bacterias,Nimaviridae,Whispovirus White spot syndrome virus,,Enfermedad de las manchas blancas,Se desconoce,,,Exótica,Presente,,Acuerdo enfermedades y plagas SAGARPA 2016,,
Virus y bacterias,Roniviridae,Okavirus Gill-associated virus,,Enfermedad de la cabeza amarilla,Se desconoce,,,Exótica,Presente,,Acuerdo enfermedades y plagas SAGARPA 2016,,
Peces,Cyprinidae,Barbodes semifasciolatus,"Barbus semifasciolatus Günther, 1868; 
Puntius semifaciolatus (Günther, 1868)",Green barb,Dulceacuícola,"Asia, sudeste de China (Mendoza-Alfaro et al., 2010)","Estados Unidos, Papúa Nueva Guinea, India y Singapur (Mendoza-Alfaro et al., 2010)",Exótica,Por confirmar,Invasora,,x,
Plantas,,Abrus precatorius,,Chochitos de indio,Terrestre,"Kenia, Tanzania, Uganda, Sudan, Botsuana, Namibia, Sudáfrica, Nigeria, Togo, Ruanda, Madagascar, Mauricio, Seychelles, China, Taiwán, Bangladesh; India; Pakistán; Sri Lanka, Cambodia; Laos; Myanmar; Tailandia; Vietnam, Indonesia; Malasia, Papua Nueva Guinea, Filipinas, Australia, Micronesia, Polinesia Francesa, Fiji (USDA, ARS 2015).","Estados Unidos (Florida y Hawai), India, Islas del Caribe, Belice, México y Sudamérica (Langeland & Craddock, 2008; Marrero-Faz, et al., 2010).",Exótica,Presente,Invasora,,x,187934
Plantas,,Abutilon theophrasti,,Hoja de terciopelo,Terrestre,"Argelia, Egipto, Armenia, Azerbaiyán, Afganistán, Turquía, Armenia, Azerbaiyán, Georgia, Federación de Rusia, Kazajstán, Kirguistán, Kirguistán, Tayikistán, Turkmenistán, Uzbekistán, Pakistán, Bosnia y Herzegovina, Bulgaria, Croacia, Grecia, Rumania, Egipto (USDA, ARS 2011).","República de Corea, Turquía, Marruecos, Canadá, Bulgaria, Croacia, Hungría, Suiza, Introducida en Estados Unidos invasora en Washington, Oregón, Minnesota, Kentucky, Iowa, Indiana, Colorado (Domínguez Valenzuela et al., 2003).",Exótica,Presente,Invasora,Acuerdo especies exóticas SEMARNAT,,199153
Plantas,,Acacia melanoxylon,,Acacia de madera negra,Terrestre,Australia (GISD 2015).,"Sur de Europa y Sur de África. Introducida en Islas británicas, Francia, Norte de África, Nueva Zelanda, Oeste de los USA, Chile, Argentina, Azores y Hawaii (GISD 2015).",Exótica,Presente,Invasora,,x,201348
Plantas,,Acalypha hispida,,,Terrestre,"Oceanía (Villaseñor & Espinosa-García, 2004)","Chihuahua (Villaseñor & Espinosa-García, 2004)",Exótica,Presente,,,,193748
Plantas,,Acalypha indica,,,Terrestre,"África, India, Indo-China, Malasia (Wiersema & León, 1999; PIER, 2009)","Guam, Niue, Angaur, Isla Navidad, Islas Cocos, Seychelles (PIER, 2009)",Exótica,Presente,,,,149215
Plantas,,Acanthospermum australe,,,Terrestre,,,Exótica,Ausente,Invasora,,,201428
Plantas,,Acanthospermum hispidum,,"carapichno, corona de la reina, cuagrilla, cuajrilla, espinho de cigano (PIER, 2007)",Terrestre,"Colombia, Costa Rica, El Salvador, Guatemala, Honduras, Nicaragua, Perú (PIER, 2007).","Australia, Hawaii, Japón (PIER, 2007)",Exótica,Ausente,Invasora,Acuerdo especies exóticas SEMARNAT/NOM-043-FITO-1999,x,181485
Plantas,,Acanthospermum humile,"Centrospermum humile (Sw.) Less. 	, Melampodium humile Sw.",,Terrestre,"Panamá, Cuba, República Dominicana, Jamica (CABI, 2011)","China (Liu et al., 2006).",Exótica,Ausente,,,,181523
Plantas,,Acer palmatum,Acer polymorphum Siebold & Zucc,"Arce japonés, maple japonés, japanese maple",Terrestre,"Este de Asia (Weeds of Australia, 2009).","Valle de México, Sierra Norte de Puebla y Altiplano Central (Chacalo-Hilu & Corona y Nava, 2009)",Exótica,Presente,,,,201346
Plantas,,Acer pentaphyllum,,,Terrestre,"Valle Yalung, Provincia Sichuan, oeste de China (Chacalo-Hilu & Corona y Nava, 2009)","Jardines del DF (Chacalo-Hilu & Corona y Nava, 2009)",Exótica,Presente,,,,201347
