Id_INVAS_COMPLETO,Grupo,Orden filogenetico,familia,Nombre cientifico,Ambiente,Origen,Presencia,Estatus,Ficha,Instrumento legal,Enciclovida 2020,enciclovida_id
5INVAS,Peces,16,Anostomidae,Abramites hypselonotus,Dulceacuícola,Exótica,Presente,,,,,252394
15INVAS,Peces,16,Cichlidae,Altolamprologus compressiceps,Dulceacuícola,Exótica,Presente,,,,,252266
24INVAS,Peces,16,Apteronotidae,Apteronotus albifrons,Dulceacuícola,Exótica,Presente,,,,,252397
29INVAS,Peces,16,Cichlidae,Aulonocara nyassae,Dulceacuícola,Exótica,Presente,,,,,252268
30INVAS,Peces,16,Cichlidae,Aulonocara stuartgranti,Dulceacuícola,Exótica,Presente,,,,,252269
37INVAS,Peces,16,Botiidae,Botia almorhae,Dulceacuícola,Exótica,Presente,,,,,252398
38INVAS,Peces,16,Botiidae,Botia striata,Dulceacuícola,Exótica,Presente,,,,,252399
39INVAS,Peces,16,Oxudercidae,Brachygobius xanthozona,Dulceacuícola,Exótica,Presente,,,,,252306
45INVAS,Peces,16,Gasteropelecidae,Carnegiella strigata,Dulceacuícola,Exótica,Presente,,,,,252412
53INVAS,Peces,16,Cichlidae,Copadichromis borleyi,Dulceacuícola,Exótica,Presente,,,,,252270
55INVAS,Peces,16,Callichthyidae,Corydoras agassizii,Dulceacuícola,Exótica,Presente,,,,,252403
56INVAS,Peces,16,Callichthyidae,Corydoras arcuatus,Dulceacuícola,Exótica,Presente,,,,,252405
58INVAS,Peces,16,Callichthyidae,Hoplisoma leucomelas,Dulceacuícola,Exótica,Presente,,,,,290540
60INVAS,Peces,16,Callichthyidae,Hoplisoma metae,Dulceacuícola,Exótica,Presente,,,,,290578
61INVAS,Peces,16,Callichthyidae,Hoplisoma paleatum,Dulceacuícola,Exótica,Presente,,,,,290579
68INVAS,Peces,16,Cichlidae,Cyrtocara moorii,Dulceacuícola,Exótica,Presente,,,,,252273
70INVAS,Peces,16,Chalceidae,Chalceus macrolepidotus,Dulceacuícola,Exótica,Presente,,,,,252456
74INVAS,Peces,16,Notopteridae,Chitala chitala,Dulceacuícola,Exótica,Presente,,,,,252446
75INVAS,Peces,16,Botiidae,Chromobotia macracanthus,Dulceacuícola,Exótica,Presente,,,,,252400
106INVAS,Peces,16,Mormyridae,Gnathonemus petersii,Dulceacuícola,Exótica,Presente,,,,,252444
115INVAS,Peces,16,Characidae,Hasemania nana,Dulceacuícola,Exótica,Presente,,,,,252300
117INVAS,Peces,16,Helostomatidae,Helostoma temminckii,Dulceacuícola,Exótica,Presente,,,,,252415
120INVAS,Peces,16,Hemiodontidae,Hemiodus gracilis,Dulceacuícola,Exótica,Presente,,,,,252416
130INVAS,Peces,16,Loricariidae,Hypancistrus zebra,Dulceacuícola,Exótica,Presente,,,,,252307
131INVAS,Peces,16,Characidae,Psalidodon anisitsi,Dulceacuícola,Exótica,Presente,,,,,252471
132INVAS,Peces,16,Acestrorhamphidae,Megalamphodus eques,Dulceacuícola,Exótica,Presente,,,,,290618
133INVAS,Peces,16,Acestrorhamphidae,Megalamphodus erythrostigma,Dulceacuícola,Exótica,Presente confinada,,,,,290620
134INVAS,Peces,16,Acestrorhamphidae,Hyphessobrycon herbertaxelrodi,Dulceacuícola,Exótica,Presente,,,,,252165
139INVAS,Peces,16,Siluridae,Kryptopterus bicirrhis,Dulceacuícola,Exótica,Presente,,,,,252316
147INVAS,Peces,16,Loricariidae,Leporacanthicus galaxias,Dulceacuícola,Exótica,Presente,,,,,252308
153INVAS,Peces,16,Telmatherinidae,Marosatherina ladigesi,Dulceacuícola,Exótica,Presente,,,,,252429
