sp,prioridad,Reino,Divisionphylum,Clase,Orden,Familia,genero,especie,sub_sp,idCAT,CategoriaTaxonomica_idCAT,mapa,styler,boubox,clave,anio,autor
,9.9000000000000000e+01,"Animalia","Chordata","Mammalia","Primates","Atelidae","Alouatta, Ateles","palliata, pigra mexicana, geoffroyi vellerosus,  geoffroyi yucatanensis",,"3027MAMIF","familia","sppgw","poly_conabio_conabio_1p","minx=15.1066474914551 miny=-100.050445556641 maxx=21.5856819152832 maxy=-86.8196334838867",,"2012","CONABIO - AMP, A.C. - CONANP"
"Abeillia abeillei",1.0000000000000000e+00,"Animalia","Chordata","Aves","Apodiformes","Trochilidae","Abeillia","abeillei",,"13302AVES","especie","aab071dpgw","dp_01g","minx=12.6956787109375 miny=-97.4271926879883 maxx=19.895679473877 maxy=-85.0571823120117","JM071","2018","Navarro-Sigüenza et al."
"Abeillia abeillei",2.0000000000000000e+00,"Animalia","Chordata","Aves","Apodiformes","Trochilidae","Abeillia","abeillei",,"13302AVES","especie","abei_abeigw","poly_conabio_conabio_1p","minx=15.10136 miny=-97.313229 maxx=18.90136 maxy=-91.133229","CE015","2007","Navarro y Peterson"
"Abies concolor",1.0000000000000000e+00,"Plantae","Tracheophyta","Equisetopsida","Pinales","Pinaceae","Abies","concolor",,"19308GIMNO","especie","aco015dpgw","dp_01v","minx=24.1750030517578 miny=-124.391670227051 maxx=54.108341217041 maxy=-98.5083236694336","JM015","2014","Jaramillo-Correa y Martínez-Méndez"
"Abies durangensis",1.0000000000000000e+00,"Plantae","Tracheophyta","Equisetopsida","Pinales","Pinaceae","Abies","durangensis",,"19309GIMNO","especie","adu015dpgw","dp_01v","minx=22.9083366394043 miny=-109.316665649414 maxx=30.8916721343994 maxy=-104.358322143555","JM015","2014","Jaramillo-Correa y Martínez-Méndez"
"Abies durangensis coahuilensis",1.0000000000000000e+00,"Plantae","Tracheophyta","Equisetopsida","Pinales","Pinaceae","Abies","durangensis","coahuilensis","67032GIMNO","variedad","aduc015dpgw","dp_01v","minx=19.0750026702881 miny=-111.641670227051 maxx=34.358341217041 maxy=-96.4083251953125","JM015","2014","Jaramillo-Correa y Martínez-Méndez"
"Abies guatemalensis",1.0000000000000000e+00,"Plantae","Tracheophyta","Equisetopsida","Pinales","Pinaceae","Abies","guatemalensis",,"19310GIMNO","especie","agu015dpgw","dp_01v","minx=12.9916696548462 miny=-105.683334350586 maxx=25.69167137146 maxy=-83.5333251953125","JM015","2014","Jaramillo-Correa y Martínez-Méndez"
"Abies guatemalensis",2.0000000000000000e+00,"Plantae","Tracheophyta","Equisetopsida","Pinales","Pinaceae","Abies","guatemalensis",,"19310GIMNO","especie","agus015dpgw","dp_01v","minx=12.9916696548462 miny=-105.683334350586 maxx=25.69167137146 maxy=-83.5333251953125","JM015","2014","Jaramillo-Correa y Martínez-Méndez"
"Abies guatemalensis jaliscana",1.0000000000000000e+00,"Plantae","Tracheophyta","Equisetopsida","Pinales","Pinaceae","Abies","guatemalensis","jaliscana","67033GIMNO","variedad","aguj015dpgw","dp_01v","minx=17.9416694641113 miny=-105.683334350586 maxx=21.6833381652832 maxy=-96.9416580200195","JM015","2014","Jaramillo-Correa y Martínez-Méndez"
"Abies hickelii",1.0000000000000000e+00,"Plantae","Tracheophyta","Equisetopsida","Pinales","Pinaceae","Abies","hickelii",,"19311GIMNO","especie","ahi015dpgw","dp_01v","minx=15.9166698455811 miny=-103.491668701172 maxx=20.4333381652832 maxy=-95.0916595458984","JM015","2014","Jaramillo-Correa y Martínez-Méndez"
