idCAT,layers,styler,bbox,anio,autor,urlgeoportal,urldescargazip
19309GIMNO,adu015dpgw,dp_01v,"-109.316665649414,22.9083366394043,-104.358322143555,30.8916721343994",2014,Jaramillo-Correa y Martínez-Méndez,http://geoportal.conabio.gob.mx/#!l=adu015dpgw:1,http://www.conabio.gob.mx/informacion/gis/maps/geo/adu015dpgw.zip
67032GIMNO,aduc015dpgw,dp_01v,"-111.641670227051,19.0750026702881,-96.4083251953125,34.358341217041",2014,Jaramillo-Correa y Martínez-Méndez,http://geoportal.conabio.gob.mx/#!l=aduc015dpgw:1,http://www.conabio.gob.mx/informacion/gis/maps/geo/aduc015dpgw.zip
19310GIMNO,agu015dpgw,dp_01v,"-105.683334350586,12.9916696548462,-83.5333251953125,25.69167137146",2014,Jaramillo-Correa y Martínez-Méndez,http://geoportal.conabio.gob.mx/#!l=agu015dpgw:1,http://www.conabio.gob.mx/informacion/gis/maps/geo/agu015dpgw.zip
19310GIMNO,agus015dpgw,dp_01v,"-105.683334350586,12.9916696548462,-83.5333251953125,25.69167137146",2014,Jaramillo-Correa y Martínez-Méndez,http://geoportal.conabio.gob.mx/#!l=agus015dpgw:1,http://www.conabio.gob.mx/informacion/gis/maps/geo/agus015dpgw.zip
67033GIMNO,aguj015dpgw,dp_01v,"-105.683334350586,17.9416694641113,-96.9416580200195,21.6833381652832",2014,Jaramillo-Correa y Martínez-Méndez,http://geoportal.conabio.gob.mx/#!l=aguj015dpgw:1,http://www.conabio.gob.mx/informacion/gis/maps/geo/aguj015dpgw.zip
19311GIMNO,ahi015dpgw,dp_01v,"-103.491668701172,15.9166698455811,-95.0916595458984,20.4333381652832",2014,Jaramillo-Correa y Martínez-Méndez,http://geoportal.conabio.gob.mx/#!l=ahi015dpgw:1,http://www.conabio.gob.mx/informacion/gis/maps/geo/ahi015dpgw.zip
13302AVES,aab071dpgw,dp_01g,"-97.4271926879883,12.6956787109375,-85.0571823120117,19.895679473877",2018,Navarro-Sigüenza et al.,http://geoportal.conabio.gob.mx/#!l=aab071dpgw:1,http://www.conabio.gob.mx/informacion/gis/maps/geo/aab071dpgw.zip
13302AVES,abei_abeigw,poly_conabio_conabio_1p,"-97.313229,15.10136,-91.133229,18.90136",2007,Navarro y Peterson,http://geoportal.conabio.gob.mx/#!l=abei_abeigw:1,http://www.conabio.gob.mx/informacion/gis/maps/geo/abei_abeigw.zip
19308GIMNO,aco015dpgw,dp_01v,"-124.391670227051,24.1750030517578,-98.5083236694336,54.108341217041",2014,Jaramillo-Correa y Martínez-Méndez,http://geoportal.conabio.gob.mx/#!l=aco015dpgw:1,http://www.conabio.gob.mx/informacion/gis/maps/geo/aco015dpgw.zip
67154GIMNO,ahih013dpgw,dp_01g,"-105.255233764648,15.8981971740723,-94.7391357421875,20.8847503662109",2015,Villaseñor et al.,http://geoportal.conabio.gob.mx/#!l=ahih013dpgw:1,http://www.conabio.gob.mx/informacion/gis/maps/geo/ahih013dpgw.zip
