"gid"	"nombre"	"nombre_dec"	"tipo"	"entidad"	"fecha_dec"	"cat_orig"	"cat_dec"	"sub_catego"	"supha_dec"	"ha_orig"	"area_orig"	"perim_orig"	"mun_orig"	"mun_dec"	"mun_2010"	"fuente"	"decretos"	"cov_"	"cov_id"	"maxsimptol"	"minsimptol"	"anpestid"
"1"	"Cañón de Fernández"	""	"Estatal"	"Durango"	"25/4/2004"	"Parque Estatal"	"Parque Estatal"	"Sin dato"	"17001.4800"	"17018.6180"	"0.0000"	"0.0000"	"Sin dato"	"Lerdo"	"Cuencamé, Lerdo"	"Gobierno del  Estado"	"1"	"0"	"1"	"50.00000000000"	"50.00000000000"	"1"
"2"	"Quebrada de Santa Bárbara"	""	"Estatal"	"Durango"	"22/6/2008"	"Área de Protección de Recursos Naturales"	"Área de Protección de Recursos Naturales"	"Sin dato"	"65.0000"	"0.6575"	"0.0000"	"0.0000"	"Sin dato"	"Pueblo Nuevo"	"Pueblo Nuevo"	"Gobierno del  Estado"	"1"	"1"	"2"	"50.00000000000"	"50.00000000000"	"2"
"3"	"El Tecuán"	""	"Estatal"	"Durango"	"30/3/2008"	"Sin dato"	"Parque Estatal"	"Sin dato"	"894.3146"	"0.0000"	"0.0000"	"0.0000"	"Sin dato"	"Durango"	"Durango"	"Gobierno del  Estado"	"1"	"2"	"3"	"50.00000000000"	"50.00000000000"	"3"
"4"	"Laguna Ik"	""	"Municipal"	"Campeche"	"24/2/2007"	"Jardín de Regeneración y Recuperación de Especies"	"Jardín de Regeneración y Recuperación de Especies"	"Sin dato"	"28820.0000"	"28743.8050"	"287438045.0770"	"72842.9000"	"Sin dato"	"Hopelchén"	"Hopelchén"	"Participación Ambiental"	"0"	"3"	"4"	"50.00000000000"	"50.00000000000"	"4"
"5"	"Salto Grande"	"Salto Grande-Candelaria"	"Municipal"	"Campeche"	"24/10/2006"	"Parque Urbano"	"Parque Urbano"	"Sin dato"	"1570.8900"	"1577.4670"	"15774673.1990"	"29422.2020"	"Sin dato"	"Candelaria"	"Candelaria"	"Participación Ambiental"	"0"	"4"	"5"	"50.00000000000"	"50.00000000000"	"5"
"6"	"Balam-Kin"	""	"Estatal"	"Campeche"	"15/12/1999"	"Zona Estatal Sujeta a Conservación Ecológica"	"Zona Estatal Sujeta a Conservación Ecológica"	"Delimitación de Balam-Kin"	"110990.0000"	"0.0000"	"998.0370"	"0.0000"	"Sin dato"	"Campeche, Hopelchén"	"Calakmul, Champotón, Escárcega y Hopelchén"	"Red Nacional de Sistemas Estatales de ANP"	"0"	"5"	"6"	"50.00000000000"	"50.00000000000"	"6"
"7"	"Balam-Kin"	""	"Estatal"	"Campeche"	"15/12/1999"	"Zona Estatal Sujeta a Conservación Ecológica"	"Zona Estatal Sujeta a Conservación Ecológica"	"Zona de protección"	"110990.0000"	"0.0000"	"669.5080"	"0.0000"	"Sin dato"	"Campeche, Hopelchén"	"Calakmul, Champotón, Escárcega y Hopelchén"	"Red Nacional de Sistemas Estatales de ANP"	"0"	"6"	"7"	"50.00000000000"	"50.00000000000"	"7"
"8"	"Balam-Kin"	""	"Estatal"	"Campeche"	"15/12/1999"	"Zona Estatal Sujeta a Conservación Ecológica"	"Zona Estatal Sujeta a Conservación Ecológica"	"Zona de restauración"	"110990.0000"	"0.0000"	"146.4010"	"0.0000"	"Sin dato"	"Campeche, Hopelchén"	"Calakmul"	"Red Nacional de Sistemas Estatales de ANP"	"0"	"7"	"8"	"50.00000000000"	"50.00000000000"	"8"
"9"	"Balam-Kin"	""	"Estatal"	"Campeche"	"15/12/1999"	"Zona Estatal Sujeta a Conservación Ecológica"	"Zona Estatal Sujeta a Conservación Ecológica"	"Zona de amortiguamiento"	"110990.0000"	"0.0000"	"186.9240"	"0.0000"	"Sin dato"	"Campeche, Hopelchén"	"Calakmul, Champotón, Escárcega y Hopelchén"	"Red Nacional de Sistemas Estatales de ANP"	"0"	"8"	"9"	"50.00000000000"	"50.00000000000"	"9"
"10"	"Balam-Kú"	""	"Estatal"	"Campeche"	"14/8/2003"	"Zona Estatal Sujeta a Conservación Ecológica"	"Zona Estatal Sujeta a Conservación Ecológica"	"Zona núcleo II"	"409200.0000"	"62390.5100"	"0.0000"	"0.0000"	"Sin dato"	"Calakmul"	"Calakmul, Escárcega"	"Red Nacional de Sistemas Estatales de ANP"	"0"	"9"	"10"	"50.00000000000"	"50.00000000000"	"10"
