cve_ent	cve_mun	munid	municipio	estado	nombre
31	51	1	Mocochá	Yucatán	Mocochá (Yucatán)
7	39	2	Huitiupán	Chiapas	Huitiupán (Chiapas)
26	56	3	San Miguel de Horcasitas	Sonora	San Miguel de Horcasitas (Sonora)
21	171	4	Tepeyahualco de Cuauhtémoc	Puebla	Tepeyahualco de Cuauhtémoc (Puebla)
15	27	5	Chapultepec	México	Chapultepec (México)
11	19	6	Jerécuaro	Guanajuato	Jerécuaro (Guanajuato)
21	217	7	Zoquitlán	Puebla	Zoquitlán (Puebla)
30	163	8	Tenochtitlán	Veracruz	Tenochtitlán (Veracruz de Ignacio de la Llave)
20	246	9	San Mateo Cajonos	Oaxaca	San Mateo Cajonos (Oaxaca)
10	26	10	San Dimas	Durango	San Dimas (Durango)
20	57	11	Matías Romero Avendaño	Oaxaca	Matías Romero Avendaño (Oaxaca)
16	59	12	Nuevo Urecho	Michoacán	Nuevo Urecho (Michoacán de Ocampo)
21	108	13	Oriental	Puebla	Oriental (Puebla)
11	1	14	Abasolo	Guanajuato	Abasolo (Guanajuato)
30	2	15	Acatlán	Veracruz	Acatlán (Veracruz de Ignacio de la Llave)
15	67	16	Otzolotepec	México	Otzolotepec (México)
29	56	17	Santa Ana Nopalucan	Tlaxcala	Santa Ana Nopalucan (Tlaxcala)
20	199	18	San Juan Ihualtepec	Oaxaca	San Juan Ihualtepec (Oaxaca)
20	336	19	San Pedro Yólox	Oaxaca	San Pedro Yólox (Oaxaca)
8	23	20	Galeana	Chihuahua	Galeana (Chihuahua)
14	8	21	Arandas	Jalisco	Arandas (Jalisco)
8	66	22	Uruachi	Chihuahua	Uruachi (Chihuahua)
15	68	23	Ozumba	México	Ozumba (México)
20	267	24	San Miguel del Río	Oaxaca	San Miguel del Río (Oaxaca)
21	51	25	Chietla	Puebla	Chietla (Puebla)
21	166	26	Tepeojuma	Puebla	Tepeojuma (Puebla)
12	57	27	Técpan de Galeana	Guerrero	Técpan de Galeana (Guerrero)
14	25	28	Colotlán	Jalisco	Colotlán (Jalisco)
20	440	29	Santa María Totolapilla	Oaxaca	Santa María Totolapilla (Oaxaca)
32	17	30	Guadalupe	Zacatecas	Guadalupe (Zacatecas)
24	17	31	Guadalcázar	San Luis Potosí	Guadalcázar (San Luis Potosí)
10	32	32	Santiago Papasquiaro	Durango	Santiago Papasquiaro (Durango)
20	422	33	Santa María Nativitas	Oaxaca	Santa María Nativitas (Oaxaca)
30	124	34	Papantla	Veracruz	Papantla (Veracruz de Ignacio de la Llave)
20	102	35	San Andrés Zautla	Oaxaca	San Andrés Zautla (Oaxaca)
16	105	36	Vista Hermosa	Michoacán	Vista Hermosa (Michoacán de Ocampo)
20	387	37	Santa Gertrudis	Oaxaca	Santa Gertrudis (Oaxaca)
7	10	38	Bejucal de Ocampo	Chiapas	Bejucal de Ocampo (Chiapas)
15	48	39	Jocotitlán	México	Jocotitlán (México)
20	96	40	San Andrés Sinaxtla	Oaxaca	San Andrés Sinaxtla (Oaxaca)
25	15	41	Salvador Alvarado	Sinaloa	Salvador Alvarado (Sinaloa)
14	47	42	Jamay	Jalisco	Jamay (Jalisco)
4	5	43	Hecelchakán	Campeche	Hecelchakán (Campeche)
31	53	44	Muna	Yucatán	Muna (Yucatán)
30	143	45	Santiago Tuxtla	Veracruz	Santiago Tuxtla (Veracruz de Ignacio de la Llave)
16	106	46	Yurécuaro	Michoacán	Yurécuaro (Michoacán de Ocampo)
1	2	47	Asientos	Aguascalientes	Asientos (Aguascalientes)
13	43	48	Nicolás Flores	Hidalgo	Nicolás Flores (Hidalgo)
13	82	49	Zapotlán de Juárez	Hidalgo	Zapotlán de Juárez (Hidalgo)
